field,group,formation,lithology,field2,reservoir
TRESTAKK,Fangst,Garn,clastic,TRESTAKK,Trestakk produces oil from shallow marine sandstone of Middle Jurassic age in the Garn Formation. The reservoir is at a depth of 3900 metres and has moderate quality.
TROLL,Viking,"Sognefjord, Fensfjord",clastic,TROLL,"Troll contains very large amounts of gas resources and is also one of the largest oil producing fields on the Norwegian continental shelf. The field has two main structures: Troll Øst and Troll Vest. About two-thirds of the recoverable gas reserves lie in Troll Øst. The gas and oil reservoirs in the Troll Øst and Troll Vest structures consist primarily of shallow marine sandstone of Late Jurassic age in the Sognefjord Formation. Part of the reservoir is also in the underlying Fensfjord Formation of Middle Jurassic age. The field consists of three relatively large, rotated fault blocks. The eastern fault block constitutes Troll Øst. The reservoir depth at Troll Øst is 1330 metres. Pressure communication between Troll Øst and Troll Vest has been proven. Originally, the oil column in Troll Øst was mapped to be 0-4 metres thick. A well drilled in 2007 proved an oil column of 6-9 metres in the Fensfjord Formation in the northern segment of Troll Øst. The Troll Vest oil province originally had a 22 to 26-metre-thick oil column under a small gas cap, located at a depth of 1360 metres. The Troll Vest gas province originally had an oil column of 12-14 metres under a gas column of up to 200 metres. The oil column is now reduced to a thickness of only 1 to 5 metres. A significant volume of residual oil is encountered directly below the Troll Vest oil column."
TRYM,Vestland,Sandnes,clastic,TRYM,Trym produces gas and condensate from Middle Jurassic sandstone of the Sandnes Formation. The reservoir is at a depth of 3400 metres and has good quality.
TUNE,Brent,Tarbert,clastic,TUNE,Tune produces gas and some condensate mainly from Middle Jurassic sandstone in the Tarbert Formation (Brent Group). The reservoir is at a depth of 3400 metres and divided into several inclined fault blocks . Another reservoir is in the underlying Statfjord Formation.
TYRIHANS,Fangst,"Garn, Ile",clastic,TYRIHANS,Tyrihans produces oil and gas from two deposits: Tyrihans South and Tyrihans North. Tyrihans South has an oil column with a condensate-rich gas cap. Tyrihans North contains gas and condensate with a thin oil zone. The main reservoir in both deposits is in the Middle Jurassic Garn Formation at a depth of 3500 metres. The reservoirs are homogenous and of good quality. Oil is also produced from reservoirs in the Middle Jurassic Ile Formation.
TYRVING,Rogaland,Heimdal,clastic,TYRVING,"The reservoirs contain oil in sandstone of Paleocene age in the Heimdal Formation, at depths of 2140 and 2180 metres. The reservoir properties are excellent."
ULA,Vestland,Ula,clastic,ULA,Ula produces oil mainly from sandstone in the Upper Jurassic Ula Formation. The reservoir is at a depth of 3345 metres and consists of three units. There is also production from part of the underlying Triassic reservoir at a depth of 3450 metres. This is a tight sandstone reservoir with low effective permeability.
URD,"Båt, Fangst","Åre, Tilje, Ile",clastic,URD,"Urd produces oil from Lower to Middle Jurassic sandstone in the Åre, Tilje and Ile Formations. The field is structurally complex and segmented. The reservoirs are at depths of 1800-2300 metres and have moderate to good quality."
UTGARD,Vestland,Hugin,clastic,UTGARD,Utgard produces gas with high CO2 content and some condensate mainly from sandstone of Middle Jurassic age in the Hugin Formation. Minor hydrocarbon volumes occur in the Sleipner Formation. The field consists of two main segments (west and east) which are in pressure communication via the aquifer. The main reservoirs are at a depth of 3700 metres.
VALE,Brent,Brent,clastic,VALE,Vale produced gas and condensate from Middle Jurassic sandstone in the Brent Group. The reservoir is at a depth of 3700 metres and has low permeability.
VALEMON,"Brent, Dunlin",Cook,clastic,VALEMON,Valemon produces gas and condensate from Lower Jurassic sandstone in the Cook Formation and Middle Jurassic sandstone in the Brent Group. The deposit has a complex structure with many fault blocks. The reservoirs are at depths of 3900-4200 metres and have high temperature and high pressure (HTHP).
VALHALL,Shetland,"Hod, Tor",carbonate,VALHALL,Valhall produces oil from chalk in the Upper Cretaceous Hod and Tor Formations. The reservoir depth is 2400 metres. The Tor Formation chalk is fine-grained and has good reservoir quality. Considerable fracturing allows oil and water to flow more easily than in the underlying Hod Formation.
VARG,Vestland,Ula,clastic,VARG,Varg produced oil mainly from Upper Jurassic sandstone in the Ula Formation. The reservoir is at a depth of about 2700 metres. The structure is segmented and includes several isolated compartments with varying reservoir properties.
VEGA,Brent,Brent,clastic,VEGA,"Vega produces gas and condensate from Middle Jurassic shallow marine sandstone in the Brent Group. Vega Sør additionally has an oil zone overlying the gas/condensate deposit. The reservoirs are at a depth of 3500 metres, and the quality varies from poor to medium across the field."
VERDANDE,Cromer Knoll,Lange,clastic,VERDANDE,The reservoir contains oil and gas in sandstone of Early Cretaceous age in the Lange Formation. It is at a depth of about 3000 metres and has good quality.
VESLEFRIKK,"Statfjord, Dunlin, Brent",Brent,clastic,VESLEFRIKK,"Veslefrikk produced oil and some gas from Jurassic sandstone in the Statfjord, Dunlin and Brent Groups. The main reservoir was in the Brent Group. The reservoir depths are between 2800 and 3200 metres."
VEST EKOFISK,Shetland,"Tor, Ekofisk",carbonate,VEST EKOFISK,Vest Ekofisk produced oil and gas from fractured chalk of Late Cretaceous age in the Tor Formation and of early Paleocene age in the Ekofisk Formation. The reservoir is at a depth of 3200 metres above a salt dome.
VIGDIS,"Statfjord, Brent, Viking",Brent,clastic,VIGDIS,"Vigdis produces oil from sandstone in several structures. The reservoirs in Vigdis Brent and Lomre are in the Middle Jurassic Brent Group, while the reservoirs in Vigdis Øst-Nordøst are in the Upper Triassic and Lower Jurassic Statfjord Group. The Borg Nordvest reservoir is in Upper Jurassic intra-Draupne sandstone. The reservoirs are at depths of 2200-2600 metres and have generally good quality."
VILJE,Rogaland,Heimdal,clastic,VILJE,Vilje produces oil from turbidite sandstone of Paleocene age in the Heimdal Formation. The reservoir is in a fan system at a depth of 2150 metres and has good quality.
VISUND,"Hegre, Brent","Lunde, Statfjord, Brent",clastic,VISUND,"Visund produces oil and gas from sandstone of Late Triassic and Early Jurassic age in the Lunde Formation and Statfjord Group, and of Middle Jurassic age in the Brent Group. The reservoirs are in several tilted fault blocks with varying pressure and liquid systems. The reservoirs are at depths of 2900-3000 metres. The reservoir quality is generally good in the main reservoirs."
VISUND SØR,"Statfjord, Brent","Statfjord, Brent",clastic,VISUND SØR,Visund Sør produces oil and gas from sandstone in the Middle Jurassic Brent Group and the Upper Triassic Statfjord Group. The reservoir depth is 2800-2900 metres.
VOLUND,Rogaland,Hermod,clastic,VOLUND,Volund produces oil from Paleocene sandstone in the Hermod Formation. The deposit is a unique injectite trap. The sand was remobilised in the early Eocene and injected into the overlying Balder Formation. The reservoir is at a depth of 2000 metres and has excellent quality.
VOLVE,Vestland,Hugin,clastic,VOLVE,Volve produced oil from sandstone of Middle Jurassic age in the Hugin Formation. The reservoir is at a depth of 2700-3100 metres. The western part of the structure is heavily faulted and communication across the faults is uncertain.
YME,Vestland,Sandnes,clastic,YME,"The reservoir contains oil in two separate main structures, Gamma and Beta. The structures comprise six deposits. The reservoirs are in sandstone of Middle Jurassic age in the Sandnes Formation, at a depth of 3150 metres. They are heterogeneous and have variable properties."
YTTERGRYTA,Fangst,,clastic,YTTERGRYTA,Yttergryta produced gas from sandstone of Middle Jurassic age in the Fangst Group. The reservoir is at a depth of 2400-2500 metres.
ÆRFUGL NORD,Cromer Knoll,Lysing,clastic,ÆRFUGL NORD,The reservoir contains gas and condensate in sandstone of Late Cretaceous age in the Lysing Formation. It is at a depth of 2800 metres and has good quality.
ØRN,Fangst,"Garn, Not",clastic,ØRN,The reservoir contains gas and condensate in sandstone of Middle Jurassic age in the Garn and Not Formations. It is at a depth of about 4100 metres and has good quality.
ØST FRIGG,Hordaland,Frigg,clastic,ØST FRIGG,"Øst Frigg produced gas from sandstone of Eocene age in the Frigg Formation. The reservoir is at a depth of 1900 metres and has excellent quality. The field contains two separate structures, which are part of the same pressure system as the Frigg field."
ÅSGARD,"Båt, Fangst, Cromer Knoll","Åre, Tilje, Tofte, Ile, Garn, Lysing ",clastic,ÅSGARD,"Åsgard produces gas and considerable amounts of condensate mainly from Jurassic sandstone at depths of as much as 4850 metres. The reservoir quality varies in the different formations, and there are large variations in the reservoir properties between the four accumulations. Smørbukk is in a rotated fault block and contains gas, condensate and oil in the Åre, Tilje, Tofte, Ile and Garn Formations. Smørbukk Sør contains oil, gas and condensate in the Tilje, Ile and Garn Formations. The Midgard gas accumulation is divided into four structural segments, with the main reservoir in the Ile and Garn Formations. Blåbjørn contains oil at a depth of 3100 metres in the Upper Cretaceous Lysing Formation. The Blåbjørn reservoir is located above Smørbukk Sør."
AASTA HANSTEEN,Shetland,Nise,clastic,AASTA HANSTEEN,"The main reservoirs contain gas in Upper Cretaceous sandstone in the Nise Formation, at a depth of 3000 metres. The reservoir quality is good."
